confusion_pair,error_rate,error_rate_delta_vs_baseline,label,malignant_recall,num_cases,num_with_ground_truth,source_id,source_type,target_id,top1,top1_delta_vs_baseline,topk
ack->bcc,0.6875,,Full DermAgent,0.615385,16,16,compare_agent_vs_qwen_20260328T100142Z,result_manifest,full_dermagent,0.3125,,0.8125
actinic keratosis->bcc,1.0,,Full DermAgent,1.0,3,3,compare_agent_vs_qwen_20260328T100142Z,result_manifest,full_dermagent,0.0,,0.666667
actinic keratosis->scc,1.0,,Full DermAgent,1.0,1,1,compare_agent_vs_qwen_20260328T100142Z,result_manifest,full_dermagent,0.0,,0.0
atypical mole->ack,1.0,,Full DermAgent,0.0,1,1,compare_agent_vs_qwen_20260328T100142Z,result_manifest,full_dermagent,0.0,,0.0
basal cell carcinoma->scc,1.0,,Full DermAgent,1.0,1,1,compare_agent_vs_qwen_20260328T100142Z,result_manifest,full_dermagent,0.0,,1.0
contact dermatitis->bcc,1.0,,Full DermAgent,0.0,1,1,compare_agent_vs_qwen_20260328T100142Z,result_manifest,full_dermagent,0.0,,0.0
hemangioma->ack,1.0,,Full DermAgent,0.0,1,1,compare_agent_vs_qwen_20260328T100142Z,result_manifest,full_dermagent,0.0,,0.0
keratoacanthoma->ack,1.0,,Full DermAgent,0.0,1,1,compare_agent_vs_qwen_20260328T100142Z,result_manifest,full_dermagent,0.0,,1.0
keratoacanthoma->bcc,1.0,,Full DermAgent,0.0,1,1,compare_agent_vs_qwen_20260328T100142Z,result_manifest,full_dermagent,0.0,,1.0
lichen simplex chronicus->ack,1.0,,Full DermAgent,0.0,1,1,compare_agent_vs_qwen_20260328T100142Z,result_manifest,full_dermagent,0.0,,0.0
malignant melanoma->ack,1.0,,Full DermAgent,1.0,3,3,compare_agent_vs_qwen_20260328T100142Z,result_manifest,full_dermagent,0.0,,0.666667
malignant melanoma->bcc,1.0,,Full DermAgent,1.0,2,2,compare_agent_vs_qwen_20260328T100142Z,result_manifest,full_dermagent,0.0,,0.5
malignant melanoma->nev,1.0,,Full DermAgent,,1,1,compare_agent_vs_qwen_20260328T100142Z,result_manifest,full_dermagent,0.0,,0.0
malignant melanoma->scc,1.0,,Full DermAgent,1.0,1,1,compare_agent_vs_qwen_20260328T100142Z,result_manifest,full_dermagent,0.0,,0.0
melanoma->nev,0.0,,Full DermAgent,1.0,1,1,compare_agent_vs_qwen_20260328T100142Z,result_manifest,full_dermagent,1.0,,1.0
none,0.636364,,Full DermAgent,0.611111,22,22,compare_agent_vs_qwen_20260328T100142Z,result_manifest,full_dermagent,0.363636,,0.545455
purpura->ack,1.0,,Full DermAgent,0.0,1,1,compare_agent_vs_qwen_20260328T100142Z,result_manifest,full_dermagent,0.0,,0.0
rosacea->ack,1.0,,Full DermAgent,0.0,1,1,compare_agent_vs_qwen_20260328T100142Z,result_manifest,full_dermagent,0.0,,0.0
scc->bcc,0.875,,Full DermAgent,1.0,8,8,compare_agent_vs_qwen_20260328T100142Z,result_manifest,full_dermagent,0.125,,1.0
seborrheic keratosis->ack,1.0,,Full DermAgent,0.0,1,1,compare_agent_vs_qwen_20260328T100142Z,result_manifest,full_dermagent,0.0,,1.0
seborrheic keratosis->bcc,1.0,,Full DermAgent,0.0,2,2,compare_agent_vs_qwen_20260328T100142Z,result_manifest,full_dermagent,0.0,,1.0
seborrheic keratosis->nev,1.0,,Full DermAgent,,2,2,compare_agent_vs_qwen_20260328T100142Z,result_manifest,full_dermagent,0.0,,1.0
seborrheic keratosis->scc,1.0,,Full DermAgent,0.0,1,1,compare_agent_vs_qwen_20260328T100142Z,result_manifest,full_dermagent,0.0,,0.0
squamous cell carcinoma->ack,1.0,,Full DermAgent,1.0,1,1,compare_agent_vs_qwen_20260328T100142Z,result_manifest,full_dermagent,0.0,,1.0
squamous cell carcinoma->bcc,1.0,,Full DermAgent,1.0,5,5,compare_agent_vs_qwen_20260328T100142Z,result_manifest,full_dermagent,0.0,,1.0
ack->bcc,0.692308,,Full DermAgent,0.875,13,13,eval_brief_20260328T103459Z,result_manifest,full_dermagent,0.307692,,0.769231
actinic keratosis->bcc,1.0,,Full DermAgent,1.0,3,3,eval_brief_20260328T103459Z,result_manifest,full_dermagent,0.0,,0.666667
actinic keratosis->nev,1.0,,Full DermAgent,,1,1,eval_brief_20260328T103459Z,result_manifest,full_dermagent,0.0,,0.0
actinic keratosis->sek,1.0,,Full DermAgent,,1,1,eval_brief_20260328T103459Z,result_manifest,full_dermagent,0.0,,1.0
basal cell carcinoma->nev,1.0,,Full DermAgent,,1,1,eval_brief_20260328T103459Z,result_manifest,full_dermagent,0.0,,0.0
