job_id	model	dataset	reason
c01	qwen	ham10000	fill_remaining_6x5_non_xiangya
c02	qwen	isic2019	fill_remaining_6x5_non_xiangya
c03	qwen	pad20	fill_remaining_6x5_non_xiangya
c04	qwen	scin	fill_remaining_6x5_non_xiangya
c05	qwen	sd198	fill_remaining_6x5_non_xiangya
c06	dermatollama	ham10000	fill_remaining_6x5_non_xiangya
c07	dermatollama	isic2019	fill_remaining_6x5_non_xiangya
c08	dermatollama	pad20	fill_remaining_6x5_non_xiangya
c09	dermatollama	scin	fill_remaining_6x5_non_xiangya
c10	medgemma	ham10000	fill_remaining_6x5_non_xiangya
c11	medgemma	sd198	fill_remaining_6x5_non_xiangya
c12	hulumed	scin	fill_remaining_6x5_non_xiangya
c13	hulumed	sd198	fill_remaining_6x5_non_xiangya
c14	llama	ham10000	fill_remaining_6x5_non_xiangya
c15	llama	sd198	fill_remaining_6x5_non_xiangya
c16	skinvl	ham10000	fill_remaining_6x5_non_xiangya
