count,error_category,rate,representative_case_ids,source_id,source_type,target_id
3,baseline_correct_agent_wrong,0.0375,"[""PAT_479_917"", ""PAT_523_988"", ""PAT_208_314""]",comparison,comparison_records,full_dermagent
6,baseline_wrong_agent_correct,0.075,"[""PAT_281_432"", ""PAT_70_107"", ""PAT_147_219"", ""PAT_885_1687"", ""PAT_271_418""]",comparison,comparison_records,full_dermagent
64,both_wrong,0.8,"[""PAT_918_1742"", ""PAT_888_1685"", ""PAT_1866_3659"", ""PAT_460_893"", ""PAT_304_653""]",comparison,comparison_records,full_dermagent
32,confusion_pair_present,0.4,"[""PAT_918_1742"", ""PAT_888_1685"", ""PAT_1866_3659"", ""PAT_460_893"", ""PAT_304_653""]",comparison,comparison_records,full_dermagent
25,contradiction_heavy,0.3125,"[""PAT_1866_3659"", ""PAT_460_893"", ""PAT_304_653"", ""PAT_851_1623"", ""PAT_359_741""]",comparison,comparison_records,full_dermagent
16,high_uncertainty,0.2,"[""PAT_918_1742"", ""PAT_460_893"", ""PAT_304_653"", ""PAT_851_1623"", ""PAT_281_432""]",comparison,comparison_records,full_dermagent
32,malignant_miss,0.4,"[""PAT_1866_3659"", ""PAT_460_893"", ""PAT_766_1670"", ""PAT_281_432"", ""PAT_904_1739""]",comparison,comparison_records,full_dermagent
6,no_major_error_signal,0.075,"[""PAT_479_917"", ""PAT_523_988"", ""PAT_2109_4598"", ""PAT_1942_3918"", ""PAT_208_314""]",comparison,comparison_records,full_dermagent
27,both_wrong,0.675,"[""PAT_1726_3228"", ""PAT_73_111"", ""PAT_677_1348"", ""PAT_1492_1705"", ""PAT_1547_1876""]",eval_brief_20260328T103459Z,evaluation_records,direct_baseline
11,malignant_miss,0.275,"[""PAT_1726_3228"", ""PAT_73_111"", ""PAT_677_1348"", ""PAT_1492_1705"", ""PAT_1547_1876""]",eval_brief_20260328T103459Z,evaluation_records,direct_baseline
13,no_major_error_signal,0.325,"[""PAT_100_393"", ""PAT_720_1362"", ""PAT_439_859"", ""PAT_36_50"", ""PAT_771_1490""]",eval_brief_20260328T103459Z,evaluation_records,direct_baseline
8,baseline_correct_agent_wrong,0.2,"[""PAT_720_1362"", ""PAT_439_859"", ""PAT_771_1490"", ""PAT_84_128"", ""PAT_1301_1063""]",eval_brief_20260328T103459Z,evaluation_records,full_dermagent
5,baseline_wrong_agent_correct,0.125,"[""PAT_73_111"", ""PAT_1492_1705"", ""PAT_876_1665"", ""PAT_834_1572"", ""PAT_242_369""]",eval_brief_20260328T103459Z,evaluation_records,full_dermagent
22,both_wrong,0.55,"[""PAT_1726_3228"", ""PAT_677_1348"", ""PAT_1547_1876"", ""PAT_2079_4480"", ""PAT_237_363""]",eval_brief_20260328T103459Z,evaluation_records,full_dermagent
30,confusion_pair_present,0.75,"[""PAT_1726_3228"", ""PAT_677_1348"", ""PAT_720_1362"", ""PAT_439_859"", ""PAT_1547_1876""]",eval_brief_20260328T103459Z,evaluation_records,full_dermagent
22,contradiction_heavy,0.55,"[""PAT_1726_3228"", ""PAT_100_393"", ""PAT_1547_1876"", ""PAT_876_1665"", ""PAT_58_91""]",eval_brief_20260328T103459Z,evaluation_records,full_dermagent
18,high_uncertainty,0.45,"[""PAT_73_111"", ""PAT_720_1362"", ""PAT_876_1665"", ""PAT_237_363"", ""PAT_388_1592""]",eval_brief_20260328T103459Z,evaluation_records,full_dermagent
7,malignant_miss,0.175,"[""PAT_1726_3228"", ""PAT_1547_1876"", ""PAT_2079_4480"", ""PAT_84_128"", ""PAT_1301_1063""]",eval_brief_20260328T103459Z,evaluation_records,full_dermagent
1,no_major_error_signal,0.025,"[""PAT_1310_1097""]",eval_brief_20260328T103459Z,evaluation_records,full_dermagent
15,baseline_correct_agent_wrong,0.119048,"[""PAT_523_988"", ""PAT_208_314"", ""PAT_2142_4733"", ""PAT_1582_2574"", ""PAT_1064_272""]",candidate_run,execution_records,candidate_run
24,baseline_wrong_agent_correct,0.190476,"[""PAT_281_432"", ""PAT_70_107"", ""PAT_147_219"", ""PAT_885_1687"", ""PAT_271_418""]",candidate_run,execution_records,candidate_run
76,both_wrong,0.603175,"[""PAT_918_1742"", ""PAT_888_1685"", ""PAT_1866_3659"", ""PAT_460_893"", ""PAT_304_653""]",candidate_run,execution_records,candidate_run
91,confusion_pair_present,0.722222,"[""PAT_918_1742"", ""PAT_888_1685"", ""PAT_1866_3659"", ""PAT_460_893"", ""PAT_304_653""]",candidate_run,execution_records,candidate_run
75,contradiction_heavy,0.595238,"[""PAT_1866_3659"", ""PAT_460_893"", ""PAT_304_653"", ""PAT_851_1623"", ""PAT_359_741""]",candidate_run,execution_records,candidate_run
55,high_uncertainty,0.436508,"[""PAT_918_1742"", ""PAT_460_893"", ""PAT_304_653"", ""PAT_851_1623"", ""PAT_281_432""]",candidate_run,execution_records,candidate_run
29,malignant_miss,0.230159,"[""PAT_888_1685"", ""PAT_1866_3659"", ""PAT_766_1670"", ""PAT_904_1739"", ""PAT_206_312""]",candidate_run,execution_records,candidate_run
3,no_major_error_signal,0.02381,"[""PAT_2109_4598"", ""PAT_1753_3305"", ""PAT_1309_1096""]",candidate_run,execution_records,candidate_run
17,baseline_correct_agent_wrong,0.134921,"[""PAT_479_917"", ""PAT_523_988"", ""PAT_208_314"", ""PAT_1582_2574"", ""PAT_1071_312""]",stable_run,execution_records,stable_run
20,baseline_wrong_agent_correct,0.15873,"[""PAT_304_653"", ""PAT_281_432"", ""PAT_70_107"", ""PAT_505_3200"", ""PAT_826_1615""]",stable_run,execution_records,stable_run
80,both_wrong,0.634921,"[""PAT_918_1742"", ""PAT_888_1685"", ""PAT_1866_3659"", ""PAT_460_893"", ""PAT_851_1623""]",stable_run,execution_records,stable_run
97,confusion_pair_present,0.769841,"[""PAT_918_1742"", ""PAT_888_1685"", ""PAT_1866_3659"", ""PAT_460_893"", ""PAT_851_1623""]",stable_run,execution_records,stable_run
